English,Danish,Dutch,Finnish,French,German,Indonesian,Italian,Japanese,Latin,Norwegian,Portuguese,Spanish,Swahili,Swedish
alien,fremmed,ijselijk,vieras,hideux,fremd,asing,-,e-rian,advena,fremmed,estrangeiro,extranjero,a kigeni,-
all,al,de hele ... door,jokainen,toute,alle,tiap,ogni cosa,arankagiri,-,alt,todo,todos,ote,samtliga
almost,næsten,schier,melkein,-,fast,hampir,quasi,mazu,fere,nesten,quase,casi,-,nästan
alone,alene,louter,yksin,seul,entlang,sendiri,solo,tandokude,solus,alene,sozinho,único,tu,allena
already,allerede,al,jo,déjà,schon,sudah,già,sudeni,iam,-,já,ya,-,redan
also,også,evenzeer,myös,aussi,außerdem,-,anche,mata,-,også,também,también,pia,med
amount,beløb,tal,summa,nombre,betrag,jumlah,importo,teido,summa,beløp,uma quantidade,importe,-,belopp
and,og,en,ja,et,sowohl,-,e,soshite,ac,og,e,y,na,och
angel,engel,engel,enkeli,ange,engel,-,angelo,mitsukai,angelus,-,anjo,ángel,malaika,ängel
animal,dyr,dierlijk,eläin,bête,tier,-,animale,ikimono,bestia,dyr,animal,animal,mnyama,animal
answer,svar,antwoorden,vastata,réponse,lösung {f},-,rispondere,ninoku,responsum,svare,responder,contestar,jibu,besked
apple,æble,appel,omena,pomme,apfel {m},-,mela,appuru,-,eple,maçã,manzana,tunda la kizungu,äpple
approximately,omtrent,ongeveer,noin,environ,annäherungsweise,lebih kurang,circa,ooyoso,circa,-,cerca,proximamente,-,omkring
april,april,grasmaand,huhtikuu,avril,april {m},april,aprile,shigatsu,aprilis,april,abril,abril,aprili,april
arm,arm,bewapenen,käsivarsi,armez,arm {m},lengan,regolare,ude,bracchium,arm,braço,brazo,mkono,arm
art,kunst,kunst,taide,artistique,kunstgriff,-,arte,jutsu,ars,kunst,arte,ma a,-,konst
article,ting,handelsartikel,esine,article,artikel {m},benda,oggetto,shiromono,articulus,ting,artigo,objecto,kitu,vara
ash,ask,as,tuhka,frêne,esche,abu,cenere,kaijin,cinis,-,cinza,fresno,-,ask
ask,bede,vragen,pyytää,demandons,fragen,minta,pregano,-,quærere,spørre,rogar,orar,-,fråga
asparagus,asparges,asperge,parsa,asperge,spargel,-,asparago,asuparagasu,asparagus,asparges,espargo,esparrcgos,-,sparris
ass,æsel,ezel,aasi,aliboron,esel,-,àsino,ketsunoana,asinus,esel,burro,asno,punda,åsna
assist,hjælpe,helpen,auttaa,assister,helfen,bantu ... membantu,promuovere,ashisuto,-,hjelpe,ajudar,asistir,-,hjälpa
at present,nu,-,nyt,momentané,gegenwärtig,-,presente,mokka,nunc,nå,ora,ahora,sasa,för tillfället
attack,angreb,aangrijpen,hyökätä,attaquent,anfall {m},-,assalire,raishuu,oppugnare,angrep,ataque,acceso,-,anfall
attempt,bestræbe sig,streven,koettaa,démarche,versuch,coba ... mencoba,esperimentare,kikyuu,-,forsøke,esforço,carnet,-,försök
attend,besøge,verplegen,hoitaa,visiter,bedienen,mengunjungi,evàdere,-,adstare,ledsage,atenda,asistir,-,bevista
autumn,efterår,herfst-,syksy,automnal,herbst,-,autunno,aki,autumnum,høst,outono,otoño,-,höst
average,midte,gemiddeld,keskiarvo,moyenne,durchschnitts...,tengah,mediocrità,chuutou,-,gjennomsnitt,média,mediania,-,medeltal
avoid,undvige,mijden,välttää,évitons,meide,menghindari,evitare,kaihi,abscedere,unngå,evite,rehuir,-,undvika
baby,baby,baby,vauva,bébé,kleinkind,baybi,bebè,osanago,-,spebarn,bebê,bebé,-,baby
back,ryg,rugstuk,selkä,foncierère,retour,-,dosso,ushiro,spina,tilbake,dorso,revés,-,tillbaka
bacon,bacon,spek,ihra,lard,schinkenspeck,-,lardo,be-kon,arvina,bacon,toucinho,lardo,-,fläsk
bad,dårlig,kwalijk,-,mauvais,schlecht,buruk,cattivo,warui,malus,dårlig,mau,podrido,baya,elak
bag,taske,tas,säkki,fouille,sack,karung,sacco,hyou,lura,pose,saco,bolsillo,mfuko,påse
bank,bred,bank,ranta,bord,bank,-,sponda,ginkou,-,bank,margem,orilla,benki,bank
bark,bark,boomschors,haukkua,écorce,rinde,-,abbaio,kawa,cortex,bjeff,casca,ladrido,ganda,bark
basket,kurv,ben,-,panier,korb,keranjang,canestro,kago,cophinus,kurv,cesta,cesto,kikapu,korg
beach,strand,strand,-,plage,strand {m},pantai,lido,mizugiwa,acta,strand,praia,playa,-,plage
beak,næb,bek,nokka,bec,schnabel,-,becco,kuchibashi,beccus,nebb,bico,pico,-,pip
bear,bjørn,naar buiten brengen,kärsiä,endurer,bär,derita ... menderita,orso,-,ursus,bjørn,urso,soportar,dubu,tåla
beard,skæg,baard,parta,barbe,bart,janggut,barba,hige,barba,skjegg,barba,barba,ndevu,skägg
beautiful,smuk,schoon,kaunis,beau,schön,indah,-,shan,pulcher,vakker,belo,bello,zuri,skön
bed,bed,perk,vuode,planche,betten,-,letto,fushido,sponda,seng,cama,-,kitanda,bädd
bee,bi,honingbij,mehiläinen,abeille,wettbewerb,-,ape,hachi,-,bie,abelha,abeja,nyuki,bi
beer,øl,bier,olut,bière,bier,-,birra,biiru,cerevisia,øl,cerveja,cerveza,pombe,öl
before,-,voor,edessä,avant de,bevor,-,prima che,izen,pro,før,antes,antes,kabla ya,förr
behind,bagom,aan het einde,-,arrière,hinten,-,indietro,kouhou,pyga,bak,trás,tras,nyuma,bakom
below,derunder,beneden,alla,dessous,unterhalb,-,sotto,ika,subter,under,abaixo,abajo,chini,under
beneath,under,beneden,alla,sous,unten,-,abbasso,shita,sub,under,abaixo de,debajo,chini ya,under
bicycle,cykel,fiets,polkupyörä,bécane,fahrrad,-,velocipede,jitensha,-,sykkel,bicicleta,bicicleta,baisikeli,cykel
big,stor,groot,iso,mailloche,wichtig,besar,grande,biggu,-,stor,grande,grande,kubwa,stor
bill,næb,snavel,lippu,bec,rechnung,karcis,biglietto di banca,biru,beccus,regning,factura,billete,-,växel
bird,fugl,vogel,lintu,oiseau,vogel,-,uccello,tori,volucris,fugl,pássaro,pájaro,nyuni,fågel
bitter,bitter,bitter,-,amer,bitter,pahit,birra,nigai,amarus,sur,amargo,amargar,chungu,hätsk
black,sort,zwart,musta,noir,schwarz,hitam,nera,kuroi,pullus,svart,preto,-,eusi,svart
blame,skyld,aanrekenen,syyttää,blâme,blamieren,-,biàsimo,seme,culpa,klandre,culpar,culpa,-,klandra
blank,hvid,wit,valkea,formulaire,leere,-,biglietto non vincente,binboukuji,candidus,hvit,espaço em branco,blanco,eupe,formulär
blind,blind person,blind,sokea,aveugle,blenden,-,cieco,buraindo,cæcus,blind,cortina,deslumbrar,kipofu,blända
blood,blod,bloed,veri,sang,blut,-,sangue,chi,sanguis,blod,sangue,sangre,damu,blod
bloom,blomst,bloem,kukka,fleur,blüte,bunga,fiore,-,flos,blomst,flor,flor,ua,-
blue,blå,blauw,sininen,bleu,trübsinnig,biru,turchino,aoi,-,blå,azul,azul,-,blå
boat,båd,boot,soutuvene,canot,boot,-,barca,shuutei,cumba,båt,barco,barca,-,båt
body,legeme,carrosserie,keho,corps,leiche,badan,addome,bodi,corpus,legeme,corpo,cuerpo,mwili,kropp
bold,tyk,gedurfd,paksu,gros,fett,-,grassello,zubutoi,-,tykk,gordo,audaz,nene,käck
bone,ben,schonk,luu,os,knochen,tulang,osso,hone,os,ben,osso,hueso,mfupa,ben
book,bog,boek,kirja,commander,bestellen,buku,libro,bukku,libellus,bok,livro,libro,kitabu,bok
bosom,bryst,boezem,rinta,sein,busen,dada,-,futokoro,-,barm,seio,pecho,kifua,barm
boss,chef,aanvoerder,päällikkö,dabe,chef,majikan,capo,taishou,magister,-,amo,capitán,bwana,chef
bottle,flaske,fles,pullo,flacon,flasche,botol,bottiglia,botoru,-,flaske,frasco,botella,chupa,flaska
bowl,kumme,vont,vati,globuleux,schale,mangkuk,scodella,donburibachi,-,skål,tejela,cascara,-,skål
box,beholder,boksen,rasia,loge,boxen,kotak,palco,kou,capsa,-,caixa,estuche,chombo,låda
boy,tjener,knaap,poika,serviteur,knabe,pelayan,giovinetto,gyaruson,anculus,gutt,menino,criado,mtumishi,pojke
brain,hjerne,hersenen,aivot,cervelle,gehirn,otak,cervello,bure-n,-,hjerne,cérebro,cerebro,-,hjärna
branch,afdeling,tak,oksa,filiale,springen,dahan,filiale,shibu,-,gren,ramo,bifurcar,-,bransch
brave,modig,flink,uljas,brave,tapfer,berani,coraggioso,isamashii,-,modig,bravo,arrojado,hodari,trotsa
bread,brød,mik,leipä,pain,brot,roti,pagnotta,bureddo,pane,brød,pão,pan,mkate,bröd
break,brække,afbreken,särkeä,rompons,aufheben,mempecahkan,vomico,kireme,rumpere,-,partir-se,romper,-,avbrott
breast,bryst,boezem,nisä,sein,brust,dada,torace,munamoto,mamma,bryst,peito,pecho,kifua,bröst
bridge,bro,brug,silta,carpette,brücke,jembatan,ponte,burijji,-,bro,ponte,puente,-,brygga
broad,bred,breed,leveä,large,umfassend,luas,largo,habahiroi,-,bred,largo,ancho,pana,bred
brother,broder,broer,veli,frère,kollege,-,fratello,-,frater,bror,irmão,hermano,kaka,bror
brush,børste,borstelen,harja,brosse,fegen,sikat,pennello,sasshi,-,børste,escova,brocha,-,pensel
bucket,spand,emmer,ämpäri,seau,schaufel,ember,secchio,oke,situla,bøtte,balde,balde,-,hink
building,bygning,constructie,-,édification,erstellung,bangunan,edificio,tatemono,ædificium,bygning,edifício,edificio,-,byggnad
burden,læs,beladen,lasti,accablement,belaste,memuati,addossare,fuka,-,byrde,carga,gravamen,mzigo,last
burn,brænde,aanbranden,palaa,s'allumer,zündung {f},membakar,ustione,kashou,flagrare,brenne,queimadura,pinchar,-,vidbränna
business,handel,aangelegenheid,kauppa,affaire,geschäft,perkara,affare,ko,res,forretning,comércio,negocio,jambo,rörelse
but,men,maar,kuitenkin,pourtant,ohne daß,-,ma,datte,autem,-,mas,sino,bali,men
butcher,slagter,slachten,teurastaa,boucher,fleischer,-,macellaio,nikuya,cædere,slakter,açougueiro,carnicero,-,slaktare
butter,smør,boter,voi,beurre,butter,-,burro,bata-,-,smør,manteiga,manteca,siagi,smör
bye,farvel,adieu,hyvästi,adieu,wiedersehen,-,rivedersi,bai,ave,farvel,adeus,adiós,kwa heri,-
cabbage,kål,kool,kaali,chou,kohl,-,cavolo,kyabetsu,brassica,kål,repolho,col,-,kål
cabin,kahyt,stulp,mökki,hutte,kajüte,-,cabina,kebin,canaba,lugar,camarote,cabana,kibanda,koja
call,råbe,noemen,kutsua,appel,anruf {m},-,fama,ko-ru,vocare,kalle,nomear,llamada,-,visit
candle,lys,kaarsensterkte,kynttilä,bougie,kerze,lilin,candela,kyandoru,-,lys,vela,bujia,-,ljus
capable,dygtig,bekwaam,kykenevä,capable,fähig,sanggup,adatto,yuui,-,dyktig,capaz,capaz,enye akili,duglig
capture,fange,beetnemen,pyydystää,capturez,erfassen,menangkap,rilevamento,nottori,-,fange,captação,capturar,-,uppbringa
carry,bære,dragen,kantaa,remportent,übertragen,angkat ... mengangkat,-,kyari-,vehere,bære,carregue,sostener,-,bära 
case,anliggende,affaire,asia,affaire,koffer,perkara,tasca,ke-su,causa,anliggende,caso,baul,jambo,hylsa
cat,kat,kattekop,kissa,chat,katze,-,gatto,neko,catus,katt,gato,gato,paka,katt
catch,fange,aanfloepen,pyydystää,attrapez,fangen,menangkap,accalappiare,gyokaku,-,fangst,prendedor,capturar,-,ertappa
caution,forsigtighed,waarschuwen,varoittaa,circonspection,behutsamkeit,-,fedeltà,chuui,monere,forsiktighet,cuidado,precaucion,-,försiktighet
chain,kæde,ketting,ketju,enchaîner,kette,-,catena,kusari,catena,kjede,corrente,cadena,-,kedja
chair,stol,stoel,tuoli,siège,stuhl,kursi,presidenza,kouza,-,stol,cadeira,presidencia,kiti,stol
chalk,kridt,krijt,liitu,crétacé,ankreiden,-,cretàceo,hakuboku,creta,kritt,greda,greda,-,krita
chamber,værelse,lokaal,huone,ventricule,zimmer,kamar,camera,-,-,rom,quarto,habitación,chumba,rum
change,veksle,veranderen,muuttaa,changement,wechseln,ubah ... berubah,convertire,hensen,-,forandre,troco,alterar,-,omkastning
character,karakter,aard,merkki,caractère,schriftzeichen,tanda,natura,hinsei,animus,-,carácter,seña,-,karaktär
charge,læs,aanklacht,lasti,chargeons,aufladung {f},muatan,caricato,denka,-,-,carga,gravamen,mzigo,avgift
cheap,billig,goedkoop,-,bon marché,minderwertig,murah,economico,tegaru,vilis,billig,barato,barato,rahisi,billig
cheese,ost,kaas,juusto,fromage,käse,-,formaggio,chi-zu,caseus,ost,queijo,queso,jibini,ost
cherry,kirsebær,kers,kirsikka,cerise,kirsche,-,ciliegia,sakuranbo,cerasus,kirsebær,cereja,cereza,-,körsbär
chest,kiste,borst,rinta,sein,koffer,dada,torace,mune,arca,bryst,caixa,arca,kifua,lår
chicken,høne,kippevlees,kukko,poulet,huhn,anak ayam,pollo,chikin,-,høne,galinha,gallina,kuku,kyckling
chief,chef,aanvoerder,päällikkö,dabe,anführer {m},majikan,capo,oyabun,dux,høvding,chefe,comandante,jumbe,hövding
child,barn,loot,lapsi,enfant,kind,-,fanciullo,youji,infans,barn,menino,niño,mwana,barn
church,kirke,kerk,kirkko,église,kirche,gereja,chiesa,kyoukai,-,kirke,igreja,iglesia,kanisa,kyrka
cigarette,cigaret,saffiaantje,savuke,sèche,zigarette,rokok,sigaretta,shigaretto,-,sigarett,cigarro,papelillo,-,cigarrett
circle,cirkel,kring,ympyrä,cercle,kreis,-,cerchia,maru,orbis,sirkel,círculo,círculo,-,krets
city,by,wereldstad,kaupunki,cité,stadt,-,città,shiti,oppidum,by,vila,ciudad,mji,stad
class,-,stand,kurssi,cours,klasse,kelas,categoria,rui,classis,klasse,classe,curso,-,klass
clay,ler,klei-,savi,glaise,ton,-,argilla,nendo,argilla,leire,argila,arcilla,-,lera
clean,gøre ren,rein,puhdas,nettoyent,sauber,membersihkan,forbire,sapparishita,purus,ren,limpar,enjugar,safi,rensa
clear,tydelig,hel,selvä,net,klar,nyata,forbire,akiraka,-,klar,cancele,franco,-,redig
clerk,kontorist,bediende,-,employée,beamte,-,funzionario,shoki,amanuensis,kontorist,caixeiro,oficinista,karani,kontorist
client,kunde,klant,asiakas,client,kunde,langganan,committente,raihousha,-,klient,freguês,cliente,-,klient
climate,-,klimaat,ilmasto,climat,klima,iklim,clima,kishou,clima,klima,clima,clima,-,klimat
clock,ur,uurwerk,kello,horloge,uhr,-,orologio,kurokku,-,klokke,pulso de disparo,reloh,saa,ur
clothes,klæder,kleding,-,vêture,bekleidet,pakaian,vestimento,emon,-,klær,roupa,ropaje,nguo,kläder
cloud,sky,wolk,pilvi,nue,wolke,awan,nube,kumo,nebula,sky,nuvem,sombrc,-,moln
cold,forkølelse,koud,-,froid,erkältung,-,raffreddore,hiyayaka,frigus,kald,constipação,resfriado,baridi,kyla
collect,samle,collecteren,kerätä,recueillir,zusammenfassen,mengumpulkan,incassare,korekuto,colligere,-,colete,cobrar,-,inkassera
colour,farve,verven,-,-,farbe,warna,tinta,iro,color,farge,cor,coloracion,rangi,kulör
comb,kam,uitkammen,kammata,peigne,kamm,menyisir,pettinare,kushi,-,kjemme,pente,peine,-,kam
common,sædvanlig,algemeen,yhteinen,couramment,allgemein,-,sciolto,tsuuzoku,communis,alminnelig,comum,comun,-,tarvlig
complete,fuld,compleet,täysi,clôturer,vervollständigen,lengkap,completare,irounaku,plenus,-,cheio,concluir,kamili,full
condition,tilstand,conditie,tila,conditionner,bedingung,-,condizione,joutai,condicio,tilstand,circunstância,condicion,-,villkor
conduct,opførsel,de weg wijzen,opastaa,amenent,leiten,pimpin,comportamento,furumai,adducere,oppførsel,conduta,modales,-,dirigera
consent,enighed,het eens zijn,suostua,acquiescez,einwilligen,setuju,consenso,doui,-,-,consentimento,asentir,kubali,samtycka
consider,betragte,beschouwen,katsella,envisagent,berücksichtigen,-,riflettere,kankou,spectare,overveie,considere,considerar,-,betänka
cook,kokkepige,koken,keittää,cuisiner,koch,-,cuòcere,itamae,-,kokk,cozinheiro,cocinero,mpishi,kock
copper,kobber,roodkoperen,kupari,cuivre,kupfer,-,rame,dou,æs,kopper,cobre,cobre,-,koppar
copy,kopi,exemplaar,jäljentää,calquer,abbild {n} (kopiert),salin ... menyalin,copia,fukuhon,apographon,avskrift,cópia,transcripcion,-,kopia
cord,reb,snaar,köysi,corde,schnur,tali,cordicella,ko-rudo,chorda,-,cabo,cordón,uzi,snöre
correct,rigtig,juist,korjata,corrigent,korrekt,betul,corretto,kitsu,-,riktig,correto,recto,sahihi,beriktiga
counsel,råde,adviseren,neuvoa,conseiller,beratung,nasihat,consiglio,bengonin,monere,-,conselhos,aconsejar,shauri,-
country,land,platteland,maa,contrée,gegend,darat,terreno,kuni,-,land,campo,país,nchi,land
course,fad,tracé,kurssi,notation,lauf,-,quotazione,shinro,-,fat,curso,cursillo,sahani,kurs
court,gård,het hof maken,piha,briguez,hof,-,cortile,goten,-,domstol,pátio,patio,ua,rätt
cover,dække,dekken,peittää,recouvrir,schutz,-,copro,uwadzutsumi,-,deksel,tampa,tapa,kifuniko,täcke
crazy,-,krankzinnig,hullu,fou,übergeschnappt,gila,pazzo,toppyoushimonai,amens,sprø,louco,chiflado,-,galen
cross,kors,kruisen,risti,traversent,quer,-,incrociare,kousa,crux,kryss,cruz,atravesar,msalaba,kors
crowd,mængd,hoop,kasa,acculer,menge {f},-,calca,hitodakari,multitudo,mengde,multidão,apretura,-,skara
cruel,grusom,wreed,julma,cruel,grausam,kejam,crudele,hakujou,acerbus,grusom,-,cruel,-,grym
cucumber,agurk,komkommer,-,concombre,gurke,mentimun,cetriolo,kyuuri,cucumis,slangeagurk,pepino,pepino,-,gurka
cup,kop,kopje,kuppi,tasse,pokal/tasse,cangkir,calice,kappu,-,kopp,chávena,taza,kikombe,kopp
custom,sædvane,usance,tapa,moralité,kunden,adat,usanza,korei,mos,bruk,costume,usanza,desturi,sedvänja
cycle,cykel,fietsen,polkupyörä,cycle,ablauf [zeitl.] {m},-,circolazione,saikuru,-,sykkel,ciclo,ciclo,baisikeli,cykla
dance,bal,bal,tanssiaiset,danser,tanz,-,ballare,dansu,saltare,dans,dança,danza,-,dansa
danger,fare,hachelijkheid,vaara,danger,gefahr,bahaya,pericolo,kitai,periculum,fare,perigo,peligro,hatari,fara
dangerous,farlig,gevaarlijk,-,dangereux,gefährlich,berbahaya,pericoloso,abunakkashii,acutus,farlig,perigoso,peligroso,-,farlig
dark,mørk,somber,-,obscurité,dunkel,-,accigliato,kuro,obscurus,mørk,escuro,oscuro,enye giza,dunkel
darkness,mørke,duister,-,ténèbres,finsternis,-,oscurità,ankoku,caligo,mørke,escuridão,tinieblas,giza,mörker
date,datum,dadel,päivämäärä,date,termin,-,data,nendai,caryota,daddel,tâmara,datil,tarehe,datum
daughter,datter,dochter,-,fille,tochter,-,figlia,goreijou,filia,datter,filha,hija,binti,dotter
dawn,daggry,aurora,aamurusko,aurore,morgendämmerung,-,crepùscolo,keimei,eos,daggry,alvorecer,creusculo,-,gryning
day,dag,dag,päivä,journée,tag,-,giorno,dei,dies,dag,dia,dia,siku,dag
dear,kær,geacht,kallis,cher,liebe,mahal,caro,koishii,carus,kostbar,caro,estimado,ghali,kär
december,december,december,joulukuu,décembre,dezember,desember,dicembre,juunigatsu,december,desember,dezembro,diciembre,desemba,december
deep,dyb,laag,syvä,viscérale,tief,-,cupo,fukai,-,dyp,profundamente,profundo,refu,djup
defeat,besejre,nederlaag,voittaa,vainqent,vernichten,-,sconfitta,make,vincere,nederlag,derrota,derrota,-,nederlag
degree,grad,trap,aste,licence,stufe,derajat,grado,kagen,-,grad,grau,licencia,-,grad
desert,udørken,wildernis,autiomaa,désertez,verlassen,-,deserto,areno,arena,desertere,deserto,desierto,-,desertera
design,plan,werkje,piirtää,dessin,planung,-,progetto,gara,-,tegning,projeto,propósito,shauri,planera
die,dø,doodgaan,kuolla,meurs,sterben,-,estinguersi,saikoro,alea,dø,dado,expirar,-,dö
direct,lige,mennen,suora,dirigeons,direkt,pimpin,dirigere,jiki,-,styre,direto,mandar,-,styra
disappear,forsvinde,verdwijnen,-,se perdre,verschwinden,hilang,scomparire,kieuseru,abolescere,forsvinne,desapareça,desaparecer,-,försvinna
disease,sygdom,ziekte,-,maladie,erkrankung,penyakit,malattia,byouki,morbus,sykdom,doença,enfermedad,ugonjwa,-
distance,afstand,afstand,etäisyys,distance,entfernung {f},-,spazio,enkin,-,avstand,distância,alejamiento,mwendo,distans
divide,dele,afzonderen,jakaa,divisez,scheiden,bagi ... membagi,spartire,hanasu,abrumpere,skille,dividir,dividir,-,avdela
doctor,læge,doctor,lääkäri,médecin,arzt {m},tabib,dottore,dokutoru,-,doktor,médico,medico,mganga,doktor
dog,hund,hond,koira,clebs,hund,-,cane,inu,canis,hund,cão,perro,mbwa,hund
donkey,æsel,ezel,aasi,aliboron,esel,-,àsino,usagiuma,asinus,esel,asno,asno,punda,åsna
door,dør,portier,ovi,porte,tür,-,porta,toguchi,ianua,dør,porta,-,mlango,lucka
doubt,tvivl,dubben,epäillä,doutent,zweifel,bimbang,mettere in dubbio,gigi,addubitare,-,dúvida,dudar,-,tvivla
dove,due,duif,kyyhkynen,colombe,taube,-,piccione,hato,columba,due,pombo,pichón,-,duva
dream,drømme,dromen,uni,songer,traum,mimpi,sognare,yume,-,drømme,sonho,soñar,ndoto,dröm
dress,klæde sig,een verband omleggen,puku,habiller,kleid,-,vestito,emon,vestire,antrekk,vestido,revestir,-,kläda
drink,drik,pimpelen,juoda,boisson,trinken,-,bevanda,dorinku,bibi,drikke,beber,bebida,-,dricka
drunk,drukken,dronken,juopunut,bu,getrunken,-,ebbro,hebereke,ebrius,full,bêbedo,bebido,-,full
dry,tør,dor,kuiva,séchent,trocken,kering,asciutto,dorai,-,tørr,seco,seco,kavu,torr
dust,støv,stof,pöly,poussiére,staub,debu,polvere,chiri,-,støv,pó,polvo,-,stoft
duty,pligt,plicht,velvollisuus,obligation,pflicht,kewajiban,dogana,sekinin,-,toll,dever,deb,-,tull
each,al,ieder,jokainen,chacun,jede,tiap,ogni,sorezore,-,hver enkelt,cada um,cada,ote,var
eagle,ørn,adelaar,kotka,aigle,adler {m},-,aquila,i-guru,aquila,ørn,águia,aguila,-,örn
ear,øre,oor,korva,oreille,kopf,telinga,orecchio,mimi,auricilla,øre,orelha,oreja,sikio,ax
earth,jord,aanaarden,maa,mondiale,erde,-,mondo,tsuchi,tellus,verden,terra,tierra,kiwanja,mull
